,,,,,,,,,,,,,,,,,,,South Area,14,n.miles,,,,,Sesulu,40,n.miles,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,14.0,2025-12-08 00:00:00,125,14,125,14,125,14,14,125,125,125,0,0,0,14,125,0,125,125,125,125,14,14,1473,,,2025-12-08 00:00:00,16100,1.021120060886662,,,,,,2025-12-08 00:00:00,,2025-12-08 00:00:00,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-08 00:00:00,15767
,,,,,,,,,,,,,,15.0,2025-12-09 00:00:00,125,14,125,14,125,14,14,125,125,125,0,0,0,14,125,0,125,125,125,125,14,14,1473,,,2025-12-09 00:00:00,16100,1.0273754068023737,,,,,,2025-12-09 00:00:00,,2025-12-09 00:00:00,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-09 00:00:00,15671
,,,,,,,,,,,,,,16.0,2025-12-10 00:00:00,125,14,125,14,125,14,14,125,125,125,0,0,0,14,125,0,125,125,125,125,14,14,1473,,,2025-12-10 00:00:00,16100,1.0273754068023737,,,,,,2025-12-10 00:00:00,,2025-12-10 00:00:00,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-10 00:00:00,15671
,,,,,,,,,,,,,,17.0,2025-12-11 00:00:00,125,14,125,14,125,14,14,125,125,125,0,0,0,14,125,0,125,125,125,125,14,14,1473,,,2025-12-11 00:00:00,16100,1.0273754068023737,,,,,,2025-12-11 00:00:00,,2025-12-11 00:00:00,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-11 00:00:00,15671
,,,,,,,,,,,,,,18.0,2025-12-12 00:00:00,125,14,125,14,125,14,14,125,125,125,0,0,0,14,125,0,125,125,125,125,14,14,1473,,,2025-12-12 00:00:00,16100,1.0269822032276583,,,,,,2025-12-12 00:00:00,,2025-12-12 00:00:00,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-12 00:00:00,15677
,,,,,,,,,,,,,,19.0,2025-12-13 00:00:00,125,14,125,14,125,14,14,125,125,125,0,0,0,14,125,0,125,125,125,125,14,14,1473,,,2025-12-13 00:00:00,16100,1.020861074123391,,,,,,2025-12-13 00:00:00,,2025-12-13 00:00:00,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-13 00:00:00,15771
,,,,,,,,,,,,,,20.0,2025-12-14 00:00:00,125,14,125,14,125,14,14,125,125,125,0,0,0,14,125,0,125,125,125,125,14,14,1473,,,2025-12-14 00:00:00,16100,1.0201495374477252,,,,,,2025-12-14 00:00:00,,2025-12-14 00:00:00,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-14 00:00:00,15782
,,,,,,,,,,,,,,21.0,2025-12-15 00:00:00,125,14,125,14,125,14,14,125,125,125,0,0,0,14,125,0,125,125,125,125,14,14,1473,,,2025-12-15 00:00:00,15700,0.9891009891009891,,,,,,2025-12-15 00:00:00,,2025-12-15 00:00:00,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-15 00:00:00,15873
,,,,,,,,,,,,,,22.0,2025-12-16 00:00:00,125,14,125,14,125,14,14,125,125,125,0,0,0,14,125,0,125,125,125,125,14,14,1473,,,2025-12-16 00:00:00,15700,0.9881671701913394,,,,,,2025-12-16 00:00:00,,2025-12-16 00:00:00,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-16 00:00:00,15888
,,,,,,,,,,,,,,23.0,2025-12-17 00:00:00,125,14,125,14,125,14,14,125,125,125,0,0,0,14,125,0,125,125,125,125,14,14,1473,,,2025-12-17 00:00:00,15700,0.9881671701913394,,,,,,2025-12-17 00:00:00,,2025-12-17 00:00:00,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-12-17 00:00:00,15888
