,,P_NORTH SANTAN TERMINAL,,,,,,,,,,,P_NORTH SANTAN TERMINAL,,,,,
DATE,,Actual Vessel Fuel (Ltr),Budget Vessel Fuel (Ltr),Actual Vessel Fuel (USD),Budget Vessel Fuel (USD),Actual Vessel Charter (USD),Budget Vessel Charter (USD),,,,DATE,,Actual Vessel Fuel (Ltr),Budget Vessel Fuel (Ltr),Actual Vessel Fuel (IDR),Budget Vessel Fuel (IDR),Actual Vessel Charter (IDR),Budget Vessel Charter (IDR)
2025-12-20 00:00:00,,0,3995.0177574835106,0,2157.309589041096,0,1722.8109589041096,,,,2025-12-20 00:00:00,,0,3995.0177574835106,0,33654029.5890411,0,26875850.95890411
2025-12-21 00:00:00,,0,3995.0177574835106,0,2157.309589041096,0,1722.8109589041096,,,,2025-12-21 00:00:00,,0,3995.0177574835106,0,33654029.5890411,0,26875850.95890411
2025-12-22 00:00:00,,0,3995.0177574835106,0,2157.309589041096,0,1722.8109589041096,,,,2025-12-22 00:00:00,,0,3995.0177574835106,0,33654029.5890411,0,26875850.95890411
2025-12-23 00:00:00,,0,3995.0177574835106,0,2157.309589041096,0,1722.8109589041096,,,,2025-12-23 00:00:00,,0,3995.0177574835106,0,33654029.5890411,0,26875850.95890411
2025-12-24 00:00:00,,0,3995.0177574835106,0,2157.309589041096,0,1722.8109589041096,,,,2025-12-24 00:00:00,,0,3995.0177574835106,0,33654029.5890411,0,26875850.95890411
-,,0,,0,,0,,,,,-,,0,,0,,0,
SUM,,0,119850.53272450532,0,64719.28767123291,0,51684.328767123305,,,,Jumlah,,0,119850.53272450532,0,1009620887.6712333,0,806275528.7671235
This Month Daily AVG,,0,3995.0177574835106,0,2157.309589041097,0,1722.81095890411,,,,Rata-rata perhari,,0,3995.0177574835106,0,33654029.58904111,0,26875850.958904114
,,BBM (ltr),,BBM (USD),,Charter (USD),,,,,,,BBM (ltr),,BBM (IDR),,Charter (IDR),
Difference,,119850.53272450532,,64719.28767123291,,51684.328767123305,,,,,Selisih,,119850.53272450532,,1009620887.6712333,,806275528.7671235,
