,,"P_NORTH AND P_SOUTH
SECURITY PATROL",,,,,,,,,,,"P_NORTH AND P_SOUTH
SECURITY PATROL",,,,,
DATE,,Actual Vessel Fuel (Ltr),Budget Vessel Fuel (Ltr),Actual Vessel Fuel (USD),Budget Vessel Fuel (USD),Actual Vessel Charter (USD),Budget Vessel Charter (USD),,,,DATE,,Actual Vessel Fuel (Ltr),Budget Vessel Fuel (Ltr),Actual Vessel Fuel (IDR),Budget Vessel Fuel (IDR),Actual Vessel Charter (IDR),Budget Vessel Charter (IDR)
2025-12-04 00:00:00,,0,1880.0050735667173,0,1015.2027397260274,0,1015.2027397260274,,,,2025-12-04 00:00:00,,0,1880.0050735667173,0,15837162.739726027,0,15837162.739726027
2025-12-05 00:00:00,,0,1880.0050735667173,0,1015.2027397260274,0,1015.2027397260274,,,,2025-12-05 00:00:00,,0,1880.0050735667173,0,15837162.739726027,0,15837162.739726027
2025-12-06 00:00:00,,0,1880.0050735667173,0,1015.2027397260274,0,1015.2027397260274,,,,2025-12-06 00:00:00,,0,1880.0050735667173,0,15837162.739726027,0,15837162.739726027
2025-12-07 00:00:00,,0,1880.0050735667173,0,1015.2027397260274,0,1015.2027397260274,,,,2025-12-07 00:00:00,,0,1880.0050735667173,0,15837162.739726027,0,15837162.739726027
2025-12-08 00:00:00,,0,1880.0050735667173,0,1015.2027397260274,0,1015.2027397260274,,,,2025-12-08 00:00:00,,0,1880.0050735667173,0,15837162.739726027,0,15837162.739726027
2025-12-09 00:00:00,,0,1880.0050735667173,0,1015.2027397260274,0,1015.2027397260274,,,,2025-12-09 00:00:00,,0,1880.0050735667173,0,15837162.739726027,0,15837162.739726027
2025-12-10 00:00:00,,0,1880.0050735667173,0,1015.2027397260274,0,1015.2027397260274,,,,2025-12-10 00:00:00,,0,1880.0050735667173,0,15837162.739726027,0,15837162.739726027
2025-12-11 00:00:00,,0,1880.0050735667173,0,1015.2027397260274,0,1015.2027397260274,,,,2025-12-11 00:00:00,,0,1880.0050735667173,0,15837162.739726027,0,15837162.739726027
2025-12-12 00:00:00,,0,1880.0050735667173,0,1015.2027397260274,0,1015.2027397260274,,,,2025-12-12 00:00:00,,0,1880.0050735667173,0,15837162.739726027,0,15837162.739726027
2025-12-13 00:00:00,,0,1880.0050735667173,0,1015.2027397260274,0,1015.2027397260274,,,,2025-12-13 00:00:00,,0,1880.0050735667173,0,15837162.739726027,0,15837162.739726027
2025-12-14 00:00:00,,0,1880.0050735667173,0,1015.2027397260274,0,1015.2027397260274,,,,2025-12-14 00:00:00,,0,1880.0050735667173,0,15837162.739726027,0,15837162.739726027
2025-12-15 00:00:00,,0,1880.0050735667173,0,1015.2027397260274,0,1015.2027397260274,,,,2025-12-15 00:00:00,,0,1880.0050735667173,0,15837162.739726027,0,15837162.739726027
2025-12-16 00:00:00,,0,1880.0050735667173,0,1015.2027397260274,0,1015.2027397260274,,,,2025-12-16 00:00:00,,0,1880.0050735667173,0,15837162.739726027,0,15837162.739726027
2025-12-17 00:00:00,,0,1880.0050735667173,0,1015.2027397260274,0,1015.2027397260274,,,,2025-12-17 00:00:00,,0,1880.0050735667173,0,15837162.739726027,0,15837162.739726027
2025-12-18 00:00:00,,0,1880.0050735667173,0,1015.2027397260274,0,1015.2027397260274,,,,2025-12-18 00:00:00,,0,1880.0050735667173,0,15837162.739726027,0,15837162.739726027
2025-12-19 00:00:00,,0,1880.0050735667173,0,1015.2027397260274,0,1015.2027397260274,,,,2025-12-19 00:00:00,,0,1880.0050735667173,0,15837162.739726027,0,15837162.739726027
2025-12-20 00:00:00,,0,1880.0050735667173,0,1015.2027397260274,0,1015.2027397260274,,,,2025-12-20 00:00:00,,0,1880.0050735667173,0,15837162.739726027,0,15837162.739726027
2025-12-21 00:00:00,,0,1880.0050735667173,0,1015.2027397260274,0,1015.2027397260274,,,,2025-12-21 00:00:00,,0,1880.0050735667173,0,15837162.739726027,0,15837162.739726027
2025-12-22 00:00:00,,0,1880.0050735667173,0,1015.2027397260274,0,1015.2027397260274,,,,2025-12-22 00:00:00,,0,1880.0050735667173,0,15837162.739726027,0,15837162.739726027
2025-12-23 00:00:00,,0,1880.0050735667173,0,1015.2027397260274,0,1015.2027397260274,,,,2025-12-23 00:00:00,,0,1880.0050735667173,0,15837162.739726027,0,15837162.739726027
2025-12-24 00:00:00,,0,1880.0050735667173,0,1015.2027397260274,0,1015.2027397260274,,,,2025-12-24 00:00:00,,0,1880.0050735667173,0,15837162.739726027,0,15837162.739726027
-,,0,,0,,0,,,,,-,,0,,0,,0,
SUM,,0,56400.15220700152,0,30456.082191780835,0,30456.082191780835,,,,Jumlah,,0,56400.15220700152,0,475114882.1917806,0,475114882.1917806
This Month Daily AVG,,0,1880.0050735667173,0,1015.2027397260279,0,1015.2027397260279,,,,Rata-rata perhari,,0,1880.0050735667173,0,15837162.73972602,0,15837162.73972602
,,BBM (ltr),,BBM (USD),,Charter (USD),,,,,,,BBM (ltr),,BBM (IDR),,Charter (IDR),
Difference,,56400.15220700152,,30456.082191780835,,30456.082191780835,,,,,Selisih,,56400.15220700152,,475114882.1917806,,475114882.1917806,
